Model,Accuracy,Precision,Recall,F1 Score,CV Accuracy,Training Time
SVM,0.9075,0.9157755958529229,0.9075,0.9039742949069398,0.9419642857142858,1897.790990114212
XGBoost,0.88,0.8873579921813408,0.88,0.875165932548428,,1789.4989068508148
Extra Trees,0.849375,0.8587175832848938,0.849375,0.8432764116605094,0.8921428571428572,14.811907291412354
Random Forest,0.845625,0.8574494351999103,0.845625,0.8389961469602176,0.8896428571428571,27.234672784805298
CatBoost,0.815,0.8199901749715132,0.815,0.8087531260056244,,2420.5113546848297
